iter	Passed	Remaining
0	839	83114
1	847	41507
2	862	27877
3	875	21015
4	883	16783
5	893	14003
6	905	12034
7	914	10520
8	923	9340
9	931	8381
10	940	7612
11	950	6973
12	960	6426
13	967	5944
14	977	5539
15	986	5179
16	995	4857
17	1004	4577
18	1014	4326
19	1021	4087
20	1032	3884
21	1039	3687
22	1048	3510
23	1057	3349
24	1065	3197
25	1077	3066
26	1088	2943
27	1097	2820
28	1106	2709
29	1114	2600
30	1123	2501
31	1132	2407
32	1141	2317
33	1150	2233
34	1158	2151
35	1168	2077
36	1176	2003
37	1184	1933
38	1193	1867
39	1203	1805
40	1212	1745
41	1223	1689
42	1232	1633
43	1240	1579
44	1252	1530
45	1259	1478
46	1266	1428
47	1276	1383
48	1286	1339
49	1296	1296
50	1305	1254
51	1323	1221
52	1335	1184
53	1347	1148
54	1357	1110
55	1369	1075
56	1380	1041
57	1388	1005
58	1398	971
59	1409	939
60	1417	906
61	1429	876
62	1441	846
63	1450	815
64	1459	785
65	1470	757
66	1481	729
67	1489	700
68	1502	674
69	1514	649
70	1523	622
71	1533	596
72	1544	571
73	1558	547
74	1571	523
75	1583	500
76	1596	476
77	1607	453
78	1615	429
79	1622	405
80	1632	382
81	1640	360
82	1652	338
83	1666	317
84	1678	296
85	1686	274
86	1698	253
87	1709	233
88	1718	212
89	1730	192
90	1742	172
91	1751	152
92	1761	132
93	1789	114
94	1804	94
95	1820	75
96	1832	56
97	1846	37
98	1858	18
99	1866	0
